Owners name	  AcctNumber		Balance   	month 	  day	year		
Morgan	     	 34927		757.50		       5	  18	 2011
Roper		   53628		928.95		       11	  22	 1997
Hammer	      	28371		2246.25	           7	  15	2001
Kizer		   41618		6344.75	           9	  29	2009 
Lopez		   02938		4326.95	           2	   9	2014	  
Kenny		   20103		1845.60	          10 	  13	2000
Ruiz		   30118		3426.45	           8	  11	1999
Romano	       11273		2456.68	          12	  14	2012
Hamper	       34021		1245.34	           4	  27	2003
Jones		   40201		26424.23	       6	   7	2015
